DATE;ENER_RUC_FRST5,16 ;ENER_RUC_FRST6,16 ;ENER_RUC_FRST7,16 ;ENER_RUC_FRST8,16 ;ENER_RUC_CHST5,16 ;ENER_RUC_CHST6,16 ;ENER_RUC_CHST7,16 ;ENER_RUC_CHST8,16 ;ENER_RUC_REF,16      
171114230000896;41985;19064;15406;15532;21856;27982;36798;39876;2714
171115230000485;41988;19066;15406;15533;21861;27989;36807;39885;2714
171116230000074;41991;19068;15407;15535;21866;27995;36816;39894;2714
171117230000676;41995;19070;15408;15537;21872;28002;36825;39902;2714
171118230000283;41997;19071;15408;15537;21874;28004;36828;39905;2714
171119230000879;41999;19071;15408;15537;21876;28007;36831;39907;2714
171120230000519;42003;19072;15409;15539;21884;28015;36842;39917;2714
171121230000146;42006;19074;15410;15540;21890;28022;36852;39924;2714
171122230000797;42010;19077;15411;15542;21896;28027;36861;39930;2714
171123230000412;42014;19079;15412;15544;21900;28032;36869;39935;2714
171124230000049;42018;19081;15413;15546;21905;28037;36878;39941;2714
171125230000674;42020;19081;15413;15546;21908;28040;36881;39943;2714
171126230000284;42022;19081;15413;15546;21912;28043;36886;39945;2714
171127230000899;42025;19083;15414;15547;21920;28049;36894;39956;2714
171128230000520;42029;19084;15415;15549;21926;28055;36902;39966;2714
171129230000094;42032;19086;15415;15551;21934;28063;36915;39978;2714
171130230000733;42036;19087;15416;15551;21942;28073;36929;39992;2714
