DATE ;ENER_RUC_FRST5,16 ;ENER_RUC_FRST6,16 ;ENER_RUC_FRST7,16 ;ENER_RUC_FRST8,16 ;ENER_RUC_CHST5,16 ;ENER_RUC_CHST6,16 ;ENER_RUC_CHST7,16 ;ENER_RUC_CHST8,16 ;ENER_RUC_REF,16      
171201230000370;42040;19088;15416;15551;21950;28083;36944;40007;2714
171202230000974;42042;19088;15416;15551;21955;28090;36954;40020;2714
171203230000599;42044;19089;15416;15551;21960;28098;36965;40033;2714
171204230000223;42047;19089;15416;15551;21968;28107;36978;40044;2714
171205230000853;42051;19090;15416;15551;21976;28116;36990;40052;2714
171206230000494;42054;19091;15416;15551;21983;28124;37002;40060;2714
171207230000477;42057;19091;15416;15551;21991;28133;37015;40071;2714
171208230000062;42061;19092;15416;15551;21999;28142;37028;40080;2714
171209230000700;42063;19092;15416;15551;22003;28145;37032;40081;2714
171210230000307;42065;19092;15416;15551;22006;28146;37032;40082;2714
171211230000937;42068;19093;15416;15551;22013;28154;37037;40088;2714
171212230000535;42071;19093;15416;15551;22022;28163;37046;40097;2714
171213230000152;42073;19094;15416;15551;22029;28170;37055;40103;2714
171214230000773;42076;19094;15416;15551;22037;28180;37068;40114;2714
171215230000381;42079;19095;15416;15551;22044;28190;37083;40124;2714
171216230001002;42081;19096;15416;15551;22048;28196;37090;40131;2714
171217230000636;42083;19096;15416;15551;22053;28201;37097;40139;2714
