DATE;ENER_RUC_FRST5,16;ENER_RUC_FRST6,16;ENER_RUC_FRST7,16;ENER_RUC_FRST8,16;ENER_RUC_CHST5,16;ENER_RUC_CHST6,16;ENER_RUC_CHST7,16;ENER_RUC_CHST8,16;ENER_RUC_REF,16      
180101230000996;42118;19103;15416;15555;22105;28275;37203;40224;2714
180102230000991;42120;19104;15416;15556;22113;28286;37215;40234;2714
180103230001002;42123;19104;15416;15556;22121;28297;37227;40242;2714
180104230000989;42125;19105;15416;15557;22127;28305;37237;40248;2714
180105230000997;42128;19106;15416;15557;22134;28314;37248;40256;2714
180106230000986;42130;19107;15416;15557;22135;28317;37252;40261;2714
180107230000996;42132;19107;15416;15557;22137;28320;37257;40265;2714
180108230000994;42135;19108;15416;15558;22145;28330;37269;40274;2714
180109230000987;42138;19109;15416;15559;22153;28340;37281;40283;2714
180110230000996;42141;19111;15416;15560;22160;28348;37292;40292;2714
180111230000997;42144;19113;15416;15561;22167;28357;37303;40301;2714
180112230000996;42147;19115;15416;15562;22174;28366;37315;40310;2714
180113230000995;42149;19115;15416;15562;22179;28370;37321;40316;2714
180114230001013;42151;19115;15416;15562;22183;28373;37325;40322;2714
180115230001005;42154;19116;15416;15563;22189;28382;37336;40333;2714
180116230000989;42157;19117;15416;15565;22195;28390;37346;40344;2714
180117230000985;42160;19119;15416;15566;22201;28400;37358;40357;2714
180118230001000;42163;19121;15416;15567;22206;28408;37368;40368;2714
180119230001007;42166;19122;15416;15569;22212;28417;37379;40379;2714
180120230000985;42168;19123;15416;15569;22214;28421;37385;40386;2714
180121230000996;42170;19123;15416;15569;22216;28424;37389;40391;2714
180122230000981;42172;19124;15416;15570;22221;28432;37400;40401;2714
180123230001000;42175;19126;15416;15571;22227;28440;37410;40411;2714
180124230000992;42178;19127;15416;15572;22232;28446;37419;40419;2714
180125230000981;42182;19129;15416;15573;22238;28454;37429;40429;2714
180126230000991;42185;19131;15419;15575;22244;28462;37440;40439;2714
180127230000989;42187;19131;15419;15575;22248;28467;37446;40447;2714
180128230000998;42189;19131;15419;15575;22250;28469;37451;40452;2714
180129230000993;42192;19133;15424;15576;22256;28478;37462;40463;2714
180130230000986;42195;19135;15428;15577;22262;28486;37473;40472;2714
180131230001016;42198;19136;15433;15578;22268;28494;37484;40483;2715
