DATE,"ENER_RUC_FRST5,16","ENER_RUC_FRST6,16","ENER_RUC_FRST7,16","ENER_RUC_FRST8,16","ENER_RUC_CHST5,16","ENER_RUC_CHST6,16","ENER_RUC_CHST7,16","ENER_RUC_CHST8,16","ENER_RUC_REF,16"
170516230000448,41182,18506,14847,15126,21740,27827,36615,39681,2541
170701230000101,41448,18692,15076,15286,21744,27834,36627,39691,2610
170702230000665,41450,18693,15076,15286,21744,27834,36627,39691,2611
170703230000228,41457,18698,15082,15290,21744,27834,36627,39691,2613
170704230000834,41464,18704,15088,15295,21744,27834,36627,39691,2614
170705230000470,41474,18711,15097,15301,21744,27834,36627,39691,2616
170706230000090,41483,18718,15106,15307,21744,27834,36627,39691,2617
170707230000482,41493,18726,15116,15314,21744,27834,36627,39691,2619
170708230000379,41496,18727,15117,15314,21744,27834,36627,39691,2621
170709230001003,41499,18728,15118,15314,21744,27834,36627,39691,2623
170710230000635,41510,18735,15127,15320,21744,27834,36627,39691,2625
170711230000308,41518,18742,15134,15324,21744,27834,36627,39691,2627
170712230000892,41527,18748,15141,15329,21744,27834,36627,39691,2628
170713230000538,41534,18753,15146,15333,21744,27834,36627,39691,2630
170714230000177,41537,18754,15147,15333,21744,27834,36627,39691,2632
170715230000785,41539,18755,15147,15333,21744,27834,36627,39691,2633
170716230000435,41542,18756,15148,15333,21744,27834,36627,39691,2634
170717230000070,41552,18763,15155,15338,21744,27834,36627,39691,2636
170718230000637,41561,18770,15163,15344,21744,27834,36627,39691,2637
170719230000357,41569,18777,15171,15350,21744,27834,36627,39691,2639
170720230001021,41578,18784,15178,15356,21744,27834,36627,39691,2641
170721230000662,41586,18791,15185,15360,21744,27834,36627,39691,2642
170722230000305,41588,18792,15185,15360,21744,27834,36627,39691,2643
170723230000921,41591,18793,15185,15360,21744,27834,36627,39691,2645
170724230000542,41596,18798,15190,15363,21744,27834,36627,39691,2646
170725230000215,41600,18802,15193,15366,21744,27834,36627,39691,2648
170726230000260,41606,18807,15198,15369,21744,27834,36627,39691,2649
170727230000882,41611,18811,15202,15372,21744,27834,36627,39691,2651
170728230000503,41616,18816,15207,15375,21744,27834,36627,39691,2653
170729230000112,41619,18817,15207,15375,21744,27834,36627,39691,2654
170730230000761,41621,18818,15207,15375,21744,27834,36627,39691,2656
170731230000383,41628,18823,15213,15380,21744,27834,36627,39691,2657
170501230000010,41171,18498,14841,15118,21732,27813,36600,39665,2541
170502230000776,41173,18500,14842,15120,21734,27817,36605,39669,2541
170503230000430,41176,18502,14843,15121,21737,27823,36611,39677,2541
170504230000116,41179,18504,14843,15123,21740,27827,36615,39681,2541
170901230000222,41773,18951,15330,15465,21744,27834,36627,39691,2702
170902230000834,41775,18952,15330,15465,21744,27834,36627,39691,2704
170903230000459,41777,18953,15331,15465,21744,27834,36627,39691,2705
170904230000141,41781,18958,15336,15469,21744,27834,36627,39691,2706
170905230000784,41786,18963,15340,15472,21744,27834,36627,39691,2708
170906230000510,41790,18967,15344,15474,21744,27834,36627,39691,2709
170907230000125,41793,18971,15347,15476,21744,27834,36627,39691,2711
170908230000746,41797,18974,15350,15478,21744,27834,36627,39691,2712
170909230000376,41798,18975,15351,15478,21744,27834,36627,39691,2713
170910230001029,41800,18976,15351,15478,21744,27834,36627,39691,2713
170911230000680,41803,18977,15352,15479,21744,27834,36627,39691,2713
170912230000321,41805,18978,15353,15479,21744,27834,36627,39691,2713
170913230000949,41807,18979,15353,15479,21744,27834,36627,39691,2713
170914230000610,41810,18980,15353,15479,21746,27836,36629,39693,2713
170915230000579,41813,18982,15353,15479,21748,27840,36631,39697,2713
170916230000166,41814,18982,15354,15479,21748,27840,36631,39697,2713
170917230000768,41816,18982,15354,15479,21749,27841,36632,39697,2713
170918230000483,41819,18984,15354,15479,21752,27846,36636,39703,2713
170919230000102,41822,18986,15355,15479,21756,27851,36640,39708,2714
170920230000707,41826,18988,15357,15480,21759,27855,36644,39713,2714
170921230000314,41830,18990,15359,15481,21761,27858,36647,39716,2714
170922230000943,41834,18992,15362,15482,21763,27860,36649,39718,2714
170923230000547,41836,18992,15362,15482,21763,27860,36649,39718,2714
170924230000148,41837,18992,15362,15482,21763,27860,36649,39718,2714
170925230000739,41841,18995,15363,15483,21764,27861,36651,39719,2714
170926230000640,41845,18997,15365,15486,21766,27863,36653,39721,2714
170927230000255,41849,18999,15367,15487,21767,27865,36655,39723,2714
170928230000880,41853,19001,15369,15488,21768,27866,36657,39724,2714
170929230000546,41858,19004,15371,15490,21769,27867,36658,39725,2714
170930230000182,41860,19004,15371,15490,21769,27867,36658,39725,2714
171101230000511,41953,19047,15399,15516,21806,27919,36715,39787,2714
171102230000078,41955,19048,15400,15518,21810,27926,36722,39795,2714
171103230000665,41958,19050,15400,15519,21812,27930,36725,39800,2714
171104230000229,41959,19050,15400,15519,21813,27930,36725,39800,2714
171105230000715,41961,19050,15401,15519,21813,27930,36726,39800,2714
171106230000241,41963,19052,15401,15521,21819,27938,36733,39812,2714
171107230000788,41967,19054,15402,15523,21827,27947,36746,39827,2714
171108230000309,41970,19056,15402,15525,21834,27955,36758,39838,2714
171109230000874,41973,19058,15403,15527,21839,27961,36767,39847,2714
171110230000435,41976,19060,15404,15528,21843,27966,36774,39853,2714
171111230000966,41978,19060,15404,15528,21843,27966,36774,39853,2714
171112230000490,41979,19060,15404,15528,21843,27966,36775,39853,2714
171113230000040,41982,19062,15405,15530,21850,27974,36786,39864,2714
171201230000370,42040,19088,15416,15551,21950,28083,36944,40007,2714
171202230000974,42042,19088,15416,15551,21955,28090,36954,40020,2714
171203230000599,42044,19089,15416,15551,21960,28098,36965,40033,2714
171204230000223,42047,19089,15416,15551,21968,28107,36978,40044,2714
