AA-MM-JJ/hh:mm:ss, sst_ch_1 , sst_ch_2 , sst_ch_3 , sst_ch_4 , sst_ch_5 , sst_ch_6 , sst_ch_7 , sst_ch_8 , 
17-04-01/23:00:00,25789,40850,242917,48532,21689,27751,36483,39539,
17-04-02/23:00:00,25789,40850,242917,48532,21689,27751,36484,39540,
17-04-03/23:00:00,25792,40857,242923,48537,21690,27754,36489,39544,
17-04-04/23:00:00,25795,40863,242929,48542,21693,27758,36494,39549,
17-04-05/23:00:00,25801,40873,242938,48547,21695,27762,36502,39557,
17-04-06/23:00:00,25805,40882,242948,48552,21697,27765,36509,39564,
17-04-07/23:00:00,25808,40888,242954,48555,21697,27766,36513,39568,
17-04-08/23:00:00,25808,40888,242954,48555,21697,27766,36513,39568,
17-04-09/23:00:00,25808,40888,242954,48555,21697,27766,36513,39568,
17-04-10/23:00:00,25811,40896,242960,48559,21698,27768,36518,39575,
17-04-11/23:00:00,25815,40902,242966,48562,21699,27769,36523,39580,
17-04-12/23:00:00,25816,40906,242969,48565,21700,27770,36526,39584,
17-04-13/23:00:00,25820,40913,242975,48569,21703,27774,36532,39591,
17-04-14/23:00:00,25824,40920,242981,48571,21706,27778,36537,39596,
17-04-15/23:00:00,25824,40920,242981,48571,21706,27778,36537,39596,
17-04-16/23:00:00,25824,40920,242981,48571,21706,27778,36537,39596,
17-04-17/23:00:00,25824,40920,242981,48571,21706,27778,36537,39596,
17-04-18/23:00:00,25830,40930,242990,48578,21709,27780,36544,39605,
17-04-19/23:00:00,25836,40941,243000,48583,21712,27785,36551,39614,
17-04-20/23:00:00,25842,40953,243010,48589,21715,27791,36560,39625,
17-04-21/23:00:01,25846,40961,243017,48593,21718,27794,36566,39631,
17-04-22/23:00:00,25846,40961,243017,48593,21718,27794,36566,39631,
17-04-23/23:00:00,25847,40962,243017,48593,21718,27794,36566,39631,
17-04-24/23:00:00,25851,40970,243024,48598,21719,27796,36569,39634,
17-04-25/23:00:00,25856,40981,243034,48603,21723,27799,36576,39642,
17-04-26/23:00:00,25862,40994,243045,48608,21726,27802,36584,39650,
17-04-27/23:00:00,25868,41008,243057,48615,21729,27807,36592,39659,
17-04-28/23:00:00,25873,41018,243066,48619,21732,27812,36598,39664,
