AA-MM-JJ/hh:mm:ss, sst_fr_1 , sst_fr_2 , sst_fr_3 , sst_fr_4 , sst_fr_5 , sst_fr_6 , sst_fr_7 , sst_fr_8 , 
17-04-01/23:00:00,9770,16816,29513,28165,41088,18437,14793,15069, 
17-04-02/23:00:00,9770,16816,29514,28165,41089,18437,14793,15070, 
17-04-03/23:00:00,9773,16819,29516,28171,41093,18441,14797,15072, 
17-04-04/23:00:00,9775,16822,29518,28177,41097,18445,14800,15075, 
17-04-05/23:00:00,9778,16824,29521,28185,41100,18449,14804,15077, 
17-04-06/23:00:00,9781,16827,29524,28192,41104,18453,14806,15080, 
17-04-07/23:00:00,9783,16831,29527,28197,41107,18456,14809,15082, 
17-04-08/23:00:00,9784,16831,29527,28198,41109,18456,14809,15083, 
17-04-09/23:00:00,9784,16832,29528,28199,41111,18457,14810,15083, 
17-04-10/23:00:00,9786,16835,29531,28205,41114,18461,14813,15086, 
17-04-11/23:00:00,9789,16838,29534,28211,41118,18464,14816,15089, 
17-04-12/23:00:00,9792,16841,29537,28217,41121,18467,14819,15091, 
17-04-13/23:00:00,9794,16843,29539,28223,41125,18471,14821,15094, 
17-04-14/23:00:00,9796,16846,29542,28229,41129,18475,14824,15097, 
17-04-15/23:00:00,9797,16847,29543,28230,41131,18476,14825,15097, 
17-04-16/23:00:00,9797,16847,29543,28230,41133,18476,14825,15097, 
17-04-17/23:00:00,9798,16847,29544,28230,41134,18477,14825,15097, 
17-04-18/23:00:00,9800,16849,29546,28234,41137,18479,14827,15099, 
17-04-19/23:00:00,9802,16851,29548,28240,41140,18482,14829,15101, 
17-04-20/23:00:00,9804,16853,29550,28245,41144,18486,14831,15104, 
17-04-21/23:00:01,9806,16856,29553,28250,41147,18488,14833,15107, 
17-04-22/23:00:00,9806,16856,29553,28250,41149,18488,14833,15107, 
17-04-23/23:00:00,9806,16856,29553,28251,41150,18489,14833,15107, 
17-04-24/23:00:00,9808,16858,29555,28255,41153,18490,14835,15109, 
17-04-25/23:00:00,9809,16860,29557,28260,41156,18492,14836,15111, 
17-04-26/23:00:00,9811,16861,29560,28265,41159,18493,14838,15113, 
17-04-27/23:00:00,9813,16863,29562,28270,41163,18495,14839,15116, 
17-04-28/23:00:00,9814,16865,29565,28274,41166,18497,14841,15118, 
17-04-29/23:00:00,9814,16865,29565,28275,41168,18498,14841,15118, 
17-04-30/23:00:00,9814,16865,29565,28275,41169,18498,14841,15118, 
17-05-01/23:00:00,9814,16865,29566,28275,41171,18498,14841,15118, 
17-05-02/23:00:00,9816,16866,29567,28278,41173,18500,14842,15120, 
17-05-03/23:00:00,9817,16867,29570,28283,41176,18502,14843,15121, 
17-05-04/23:00:00,9818,16869,29572,28287,41179,18504,14843,15123, 
17-05-16/23:00:00,9820,16871,29574,28290,41182,18506,14847,15126, 
17-05-17/23:00:00,9823,16875,29577,28296,41188,18509,14852,15130, 
17-05-18/23:00:00,9825,16878,29580,28301,41193,18512,14857,15133, 
17-05-19/23:00:00,9828,16881,29583,28306,41197,18515,14861,15136, 
17-05-20/23:00:00,9828,16881,29584,28307,41200,18515,14861,15137, 
17-05-21/23:00:00,9828,16882,29584,28307,41202,18516,14862,15137, 
17-05-22/23:00:00,9831,16886,29588,28313,41207,18519,14867,15141, 
17-05-23/23:00:00,9834,16891,29591,28319,41213,18522,14872,15146, 
17-05-24/23:00:00,9837,16895,29595,28326,41219,18526,14878,15150, 
17-05-25/23:00:00,9837,16896,29595,28326,41221,18526,14878,15151, 
17-05-26/23:00:00,9837,16896,29596,28327,41223,18527,14879,15152, 
17-05-27/23:00:00,9837,16897,29596,28327,41226,18527,14880,15153, 
17-05-28/23:00:00,9838,16898,29597,28328,41228,18527,14881,15154, 
17-05-29/23:00:00,9843,16907,29603,28338,41239,18533,14882,15161, 
17-05-30/23:00:00,9847,16912,29607,28346,41247,18539,14886,15166, 
17-05-31/23:00:00,9851,16918,29612,28353,41254,18545,14896,15171, 
17-06-01/23:00:00,9855,16925,29616,28361,41262,18552,14905,15177, 
17-06-02/23:00:01,9859,16931,29621,28370,41271,18559,14913,15183, 
17-06-03/23:00:00,9859,16932,29621,28371,41273,18560,14914,15183, 
17-06-04/23:00:00,9859,16934,29622,28372,41275,18561,14915,15184, 
17-06-05/23:00:00,9859,16935,29623,28373,41277,18562,14916,15185, 
17-06-06/23:00:00,9862,16938,29626,28377,41282,18566,14920,15187, 
