AA-MM-JJ/hh:mm:ss; sst_ch_1 ; sst_ch_2 ; sst_ch_3 ; sst_ch_4 ; sst_ch_5 ; sst_ch_6 ; sst_ch_7 ; sst_ch_8 ; 
17-04-01/23:00:00; 000025789; 000040850; 000242917; 000048532; 000021689; 000027751; 000036483; 000039539;
17-04-02/23:00:00; 000025789; 000040850; 000242917; 000048532; 000021689; 000027751; 000036484; 000039540;
17-04-03/23:00:00; 000025792; 000040857; 000242923; 000048537; 000021690; 000027754; 000036489; 000039544;
17-04-04/23:00:00; 000025795; 000040863; 000242929; 000048542; 000021693; 000027758; 000036494; 000039549;
17-04-05/23:00:00; 000025801; 000040873; 000242938; 000048547; 000021695; 000027762; 000036502; 000039557;
17-04-06/23:00:00; 000025805; 000040882; 000242948; 000048552; 000021697; 000027765; 000036509; 000039564;
17-04-07/23:00:00; 000025808; 000040888; 000242954; 000048555; 000021697; 000027766; 000036513; 000039568;
17-04-08/23:00:00; 000025808; 000040888; 000242954; 000048555; 000021697; 000027766; 000036513; 000039568;
17-04-09/23:00:00; 000025808; 000040888; 000242954; 000048555; 000021697; 000027766; 000036513; 000039568;
17-04-10/23:00:00; 000025811; 000040896; 000242960; 000048559; 000021698; 000027768; 000036518; 000039575;
17-04-11/23:00:00; 000025815; 000040902; 000242966; 000048562; 000021699; 000027769; 000036523; 000039580;
17-04-12/23:00:00; 000025816; 000040906; 000242969; 000048565; 000021700; 000027770; 000036526; 000039584;
17-04-13/23:00:00; 000025820; 000040913; 000242975; 000048569; 000021703; 000027774; 000036532; 000039591;
17-04-14/23:00:00; 000025824; 000040920; 000242981; 000048571; 000021706; 000027778; 000036537; 000039596;
17-04-15/23:00:00; 000025824; 000040920; 000242981; 000048571; 000021706; 000027778; 000036537; 000039596;
17-04-16/23:00:00; 000025824; 000040920; 000242981; 000048571; 000021706; 000027778; 000036537; 000039596;
17-04-17/23:00:00; 000025824; 000040920; 000242981; 000048571; 000021706; 000027778; 000036537; 000039596;
17-04-18/23:00:00; 000025830; 000040930; 000242990; 000048578; 000021709; 000027780; 000036544; 000039605;
17-04-19/23:00:00; 000025836; 000040941; 000243000; 000048583; 000021712; 000027785; 000036551; 000039614;
17-04-20/23:00:00; 000025842; 000040953; 000243010; 000048589; 000021715; 000027791; 000036560; 000039625;
17-04-21/23:00:01; 000025846; 000040961; 000243017; 000048593; 000021718; 000027794; 000036566; 000039631;
17-04-22/23:00:00; 000025846; 000040961; 000243017; 000048593; 000021718; 000027794; 000036566; 000039631;
17-04-23/23:00:00; 000025847; 000040962; 000243017; 000048593; 000021718; 000027794; 000036566; 000039631;
17-04-24/23:00:00; 000025851; 000040970; 000243024; 000048598; 000021719; 000027796; 000036569; 000039634;
17-04-25/23:00:00; 000025856; 000040981; 000243034; 000048603; 000021723; 000027799; 000036576; 000039642;
17-04-26/23:00:00; 000025862; 000040994; 000243045; 000048608; 000021726; 000027802; 000036584; 000039650;
17-04-27/23:00:00; 000025868; 000041008; 000243057; 000048615; 000021729; 000027807; 000036592; 000039659;
17-04-28/23:00:00; 000025873; 000041018; 000243066; 000048619; 000021732; 000027812; 000036598; 000039664;
17-04-29/23:00:00; 000025874; 000041020; 000243067; 000048620; 000021732; 000027813; 000036600; 000039665;
17-04-30/23:00:00; 000025874; 000041020; 000243067; 000048620; 000021732; 000027813; 000036600; 000039665;
17-05-01/23:00:00; 000025874; 000041020; 000243067; 000048620; 000021732; 000027813; 000036600; 000039665;
17-05-02/23:00:00; 000025877; 000041027; 000243072; 000048624; 000021734; 000027817; 000036605; 000039669;
17-05-03/23:00:00; 000025882; 000041038; 000243082; 000048630; 000021737; 000027823; 000036611; 000039677;
17-05-04/23:00:00; 000025885; 000041045; 000243088; 000048633; 000021740; 000027827; 000036615; 000039681;
17-05-16/23:00:00; 000025885; 000041045; 000243088; 000048633; 000021740; 000027827; 000036615; 000039681;
17-05-17/23:00:00; 000025885; 000041045; 000243088; 000048633; 000021740; 000027827; 000036615; 000039681;
17-05-18/23:00:00; 000025886; 000041047; 000243090; 000048634; 000021740; 000027828; 000036617; 000039683;
17-05-19/23:00:00; 000025888; 000041052; 000243094; 000048636; 000021742; 000027831; 000036621; 000039687;
17-05-20/23:00:00; 000025888; 000041052; 000243094; 000048636; 000021742; 000027831; 000036621; 000039687;
17-05-21/23:00:00; 000025888; 000041052; 000243094; 000048636; 000021742; 000027831; 000036621; 000039687;
17-05-22/23:00:00; 000025889; 000041055; 000243096; 000048638; 000021743; 000027832; 000036623; 000039688;
17-05-23/23:00:00; 000025890; 000041057; 000243098; 000048639; 000021743; 000027833; 000036625; 000039690;
17-05-24/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-05-25/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-05-26/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-05-27/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-05-28/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-05-29/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-05-30/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-05-31/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-06-01/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-06-02/23:00:01; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-06-03/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-06-04/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-06-05/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-06-06/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-06-07/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-06-08/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-06-09/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
17-06-10/23:00:00; 000025891; 000041059; 000243099; 000048640; 000021744; 000027834; 000036627; 000039691;
