AA-MM-JJ/hh:mm:ss; sst_fr_1 ; sst_fr_2 ; sst_fr_3 ; sst_fr_4 ; sst_fr_5 ; sst_fr_6 ; sst_fr_7 ; sst_fr_8 ; 
17-04-01/23:00:00; 000009770; 000016816; 000029513; 000028165; 000041088; 000018437; 000014793; 000015069; 
17-04-02/23:00:00; 000009770; 000016816; 000029514; 000028165; 000041089; 000018437; 000014793; 000015070; 
17-04-03/23:00:00; 000009773; 000016819; 000029516; 000028171; 000041093; 000018441; 000014797; 000015072; 
17-04-04/23:00:00; 000009775; 000016822; 000029518; 000028177; 000041097; 000018445; 000014800; 000015075; 
17-04-05/23:00:00; 000009778; 000016824; 000029521; 000028185; 000041100; 000018449; 000014804; 000015077; 
17-04-06/23:00:00; 000009781; 000016827; 000029524; 000028192; 000041104; 000018453; 000014806; 000015080; 
17-04-07/23:00:00; 000009783; 000016831; 000029527; 000028197; 000041107; 000018456; 000014809; 000015082; 
17-04-08/23:00:00; 000009784; 000016831; 000029527; 000028198; 000041109; 000018456; 000014809; 000015083; 
17-04-09/23:00:00; 000009784; 000016832; 000029528; 000028199; 000041111; 000018457; 000014810; 000015083; 
17-04-10/23:00:00; 000009786; 000016835; 000029531; 000028205; 000041114; 000018461; 000014813; 000015086; 
17-04-11/23:00:00; 000009789; 000016838; 000029534; 000028211; 000041118; 000018464; 000014816; 000015089; 
17-04-12/23:00:00; 000009792; 000016841; 000029537; 000028217; 000041121; 000018467; 000014819; 000015091; 
17-04-13/23:00:00; 000009794; 000016843; 000029539; 000028223; 000041125; 000018471; 000014821; 000015094; 
17-04-14/23:00:00; 000009796; 000016846; 000029542; 000028229; 000041129; 000018475; 000014824; 000015097; 
17-04-15/23:00:00; 000009797; 000016847; 000029543; 000028230; 000041131; 000018476; 000014825; 000015097; 
17-04-16/23:00:00; 000009797; 000016847; 000029543; 000028230; 000041133; 000018476; 000014825; 000015097; 
17-04-17/23:00:00; 000009798; 000016847; 000029544; 000028230; 000041134; 000018477; 000014825; 000015097; 
17-04-18/23:00:00; 000009800; 000016849; 000029546; 000028234; 000041137; 000018479; 000014827; 000015099; 
17-04-19/23:00:00; 000009802; 000016851; 000029548; 000028240; 000041140; 000018482; 000014829; 000015101; 
17-04-20/23:00:00; 000009804; 000016853; 000029550; 000028245; 000041144; 000018486; 000014831; 000015104; 
17-04-21/23:00:01; 000009806; 000016856; 000029553; 000028250; 000041147; 000018488; 000014833; 000015107; 
17-04-22/23:00:00; 000009806; 000016856; 000029553; 000028250; 000041149; 000018488; 000014833; 000015107; 
17-04-23/23:00:00; 000009806; 000016856; 000029553; 000028251; 000041150; 000018489; 000014833; 000015107; 
17-04-24/23:00:00; 000009808; 000016858; 000029555; 000028255; 000041153; 000018490; 000014835; 000015109; 
17-04-25/23:00:00; 000009809; 000016860; 000029557; 000028260; 000041156; 000018492; 000014836; 000015111; 
17-04-26/23:00:00; 000009811; 000016861; 000029560; 000028265; 000041159; 000018493; 000014838; 000015113; 
17-04-27/23:00:00; 000009813; 000016863; 000029562; 000028270; 000041163; 000018495; 000014839; 000015116; 
17-04-28/23:00:00; 000009814; 000016865; 000029565; 000028274; 000041166; 000018497; 000014841; 000015118; 
17-04-29/23:00:00; 000009814; 000016865; 000029565; 000028275; 000041168; 000018498; 000014841; 000015118; 
17-04-30/23:00:00; 000009814; 000016865; 000029565; 000028275; 000041169; 000018498; 000014841; 000015118; 
17-05-01/23:00:00; 000009814; 000016865; 000029566; 000028275; 000041171; 000018498; 000014841; 000015118; 
17-05-02/23:00:00; 000009816; 000016866; 000029567; 000028278; 000041173; 000018500; 000014842; 000015120; 
17-05-03/23:00:00; 000009817; 000016867; 000029570; 000028283; 000041176; 000018502; 000014843; 000015121; 
17-05-04/23:00:00; 000009818; 000016869; 000029572; 000028287; 000041179; 000018504; 000014843; 000015123; 
17-05-16/23:00:00; 000009820; 000016871; 000029574; 000028290; 000041182; 000018506; 000014847; 000015126; 
17-05-17/23:00:00; 000009823; 000016875; 000029577; 000028296; 000041188; 000018509; 000014852; 000015130; 
17-05-18/23:00:00; 000009825; 000016878; 000029580; 000028301; 000041193; 000018512; 000014857; 000015133; 
17-05-19/23:00:00; 000009828; 000016881; 000029583; 000028306; 000041197; 000018515; 000014861; 000015136; 
17-05-20/23:00:00; 000009828; 000016881; 000029584; 000028307; 000041200; 000018515; 000014861; 000015137; 
17-05-21/23:00:00; 000009828; 000016882; 000029584; 000028307; 000041202; 000018516; 000014862; 000015137; 
17-05-22/23:00:00; 000009831; 000016886; 000029588; 000028313; 000041207; 000018519; 000014867; 000015141; 
17-05-23/23:00:00; 000009834; 000016891; 000029591; 000028319; 000041213; 000018522; 000014872; 000015146; 
17-05-24/23:00:00; 000009837; 000016895; 000029595; 000028326; 000041219; 000018526; 000014878; 000015150; 
17-05-25/23:00:00; 000009837; 000016896; 000029595; 000028326; 000041221; 000018526; 000014878; 000015151; 
17-05-26/23:00:00; 000009837; 000016896; 000029596; 000028327; 000041223; 000018527; 000014879; 000015152; 
17-05-27/23:00:00; 000009837; 000016897; 000029596; 000028327; 000041226; 000018527; 000014880; 000015153; 
17-05-28/23:00:00; 000009838; 000016898; 000029597; 000028328; 000041228; 000018527; 000014881; 000015154; 
17-05-29/23:00:00; 000009843; 000016907; 000029603; 000028338; 000041239; 000018533; 000014882; 000015161; 
17-05-30/23:00:00; 000009847; 000016912; 000029607; 000028346; 000041247; 000018539; 000014886; 000015166; 
17-05-31/23:00:00; 000009851; 000016918; 000029612; 000028353; 000041254; 000018545; 000014896; 000015171; 
17-06-01/23:00:00; 000009855; 000016925; 000029616; 000028361; 000041262; 000018552; 000014905; 000015177; 
17-06-02/23:00:01; 000009859; 000016931; 000029621; 000028370; 000041271; 000018559; 000014913; 000015183; 
17-06-03/23:00:00; 000009859; 000016932; 000029621; 000028371; 000041273; 000018560; 000014914; 000015183; 
17-06-04/23:00:00; 000009859; 000016934; 000029622; 000028372; 000041275; 000018561; 000014915; 000015184; 
17-06-05/23:00:00; 000009859; 000016935; 000029623; 000028373; 000041277; 000018562; 000014916; 000015185; 
17-06-06/23:00:00; 000009862; 000016938; 000029626; 000028377; 000041282; 000018566; 000014920; 000015187; 
17-06-07/23:00:00; 000009864; 000016940; 000029629; 000028382; 000041287; 000018570; 000014924; 000015189; 
17-06-08/23:00:00; 000009867; 000016944; 000029633; 000028387; 000041292; 000018575; 000014929; 000015193; 
17-06-09/23:00:00; 000009870; 000016948; 000029636; 000028392; 000041297; 000018580; 000014935; 000015196; 
17-06-10/23:00:00; 000009870; 000016950; 000029637; 000028394; 000041300; 000018581; 000014936; 000015197; 
17-06-11/23:00:00; 000009870; 000016952; 000029638; 000028395; 000041302; 000018582; 000014938; 000015198; 
17-06-12/23:00:00; 000009874; 000016957; 000029642; 000028402; 000041309; 000018588; 000014945; 000015202; 
17-06-13/23:00:00; 000009877; 000016962; 000029646; 000028409; 000041316; 000018594; 000014952; 000015206; 
17-06-14/23:00:00; 000009881; 000016968; 000029650; 000028416; 000041323; 000018600; 000014959; 000015211; 
17-06-15/23:00:00; 000009885; 000016975; 000029655; 000028424; 000041332; 000018607; 000014967; 000015217; 
17-06-16/23:00:00; 000009888; 000016981; 000029660; 000028430; 000041338; 000018613; 000014974; 000015222; 
17-06-17/23:00:00; 000009888; 000016983; 000029660; 000028432; 000041341; 000018614; 000014975; 000015222; 
17-06-18/23:00:00; 000009888; 000016985; 000029661; 000028433; 000041343; 000018615; 000014977; 000015223; 
17-06-19/23:00:00; 000009893; 000016993; 000029667; 000028443; 000041353; 000018623; 000014988; 000015230; 
17-06-20/23:00:00; 000009898; 000017002; 000029672; 000028453; 000041363; 000018630; 000014999; 000015237; 
17-06-21/23:00:00; 000009903; 000017011; 000029679; 000028463; 000041373; 000018638; 000015010; 000015245; 
17-06-22/23:00:00; 000009909; 000017021; 000029686; 000028475; 000041383; 000018646; 000015022; 000015252; 
17-06-23/23:00:00; 000009914; 000017029; 000029693; 000028486; 000041393; 000018655; 000015031; 000015259; 
17-06-24/23:00:00; 000009914; 000017031; 000029693; 000028487; 000041396; 000018656; 000015031; 000015260; 
17-06-25/23:00:00; 000009914; 000017032; 000029694; 000028487; 000041399; 000018657; 000015032; 000015261; 
17-06-26/23:00:00; 000009919; 000017040; 000029701; 000028497; 000041409; 000018665; 000015042; 000015267; 
17-06-27/23:00:00; 000009924; 000017048; 000029707; 000028507; 000041420; 000018673; 000015051; 000015274; 
17-06-28/23:00:00; 000009928; 000017054; 000029713; 000028515; 000041429; 000018680; 000015063; 000015279; 
17-06-29/23:00:00; 000009931; 000017058; 000029718; 000028522; 000041438; 000018686; 000015070; 000015283; 
17-06-30/23:00:00; 000009934; 000017062; 000029722; 000028528; 000041445; 000018691; 000015076; 000015286; 
17-07-01/23:00:00; 000009934; 000017062; 000029722; 000028529; 000041448; 000018692; 000015076; 000015286; 
17-07-02/23:00:00; 000009934; 000017062; 000029723; 000028529; 000041450; 000018693; 000015076; 000015286; 
17-07-03/23:00:00; 000009936; 000017066; 000029727; 000028535; 000041457; 000018698; 000015082; 000015290; 
17-07-04/23:00:00; 000009940; 000017071; 000029731; 000028542; 000041464; 000018704; 000015088; 000015295; 
17-07-05/23:00:00; 000009944; 000017078; 000029737; 000028551; 000041474; 000018711; 000015097; 000015301; 
17-07-06/23:00:00; 000009948; 000017085; 000029742; 000028560; 000041483; 000018718; 000015106; 000015307; 
17-07-07/23:00:00; 000009952; 000017093; 000029748; 000028570; 000041493; 000018726; 000015116; 000015314; 
17-07-08/23:00:00; 000009952; 000017093; 000029749; 000028571; 000041496; 000018727; 000015117; 000015314; 
17-07-09/23:00:01; 000009952; 000017093; 000029749; 000028571; 000041499; 000018728; 000015118; 000015314; 
17-07-10/23:00:00; 000009957; 000017100; 000029755; 000028581; 000041510; 000018735; 000015127; 000015320; 
17-07-11/23:00:00; 000009960; 000017105; 000029760; 000028588; 000041518; 000018742; 000015134; 000015324; 
17-07-12/23:00:00; 000009963; 000017110; 000029765; 000028595; 000041527; 000018748; 000015141; 000015329; 
17-07-13/23:00:00; 000009966; 000017114; 000029769; 000028602; 000041534; 000018753; 000015146; 000015333; 
17-07-14/23:00:00; 000009966; 000017115; 000029769; 000028602; 000041537; 000018754; 000015147; 000015333; 
17-07-15/23:00:00; 000009966; 000017115; 000029770; 000028603; 000041539; 000018755; 000015147; 000015333; 
