,his_date,temperature,pression,direction,ensoleillement,temp_humide,vent_kmh,humide_pourcent,dju_tn,dju_tx,dju_moyen,dju_base_16,temperature_test
0,2017-08-01,17.7,1012.1,210.0,0.0,16.202,0.0,86.0,18.9,24.9,21.2,0.0,17.7
1,2017-08-01,16.4,1012.1,210.0,0.0,15.55,0.0,90.0,13.9,24.7,21.8,0.0,16.4
2,2017-07-30,20.4,1007.5,217.0,0.0,17.372,10.8,76.0,17.5,28.6,21.55,0.0,20.4
3,2017-07-30,20.0,1006.7,187.0,0.0,17.14,7.2,77.0,17.5,28.6,21.55,0.0,20.0
4,2017-07-30,19.5,1006.5,301.0,0.0,17.215,14.4,81.0,17.5,28.6,21.55,0.0,19.5
5,2017-07-30,20.2,1006.2,122.0,0.0,17.7,10.8,80.0,17.5,28.6,21.55,0.0,20.2
6,2017-07-30,19.7,1006.2,329.0,0.0,17.611,14.4,83.0,17.5,28.6,21.55,0.0,19.7
7,2017-07-30,19.4,1006.8,359.0,21.0,17.02,28.8,80.0,17.5,28.6,21.55,0.0,19.4
8,2017-07-30,19.0,1007.2,135.0,127.0,16.48,18.0,78.0,17.5,28.6,21.55,0.0,19.0
9,2017-07-30,19.4,1007.9,169.0,246.0,15.336,25.2,66.0,17.5,28.6,21.55,0.0,19.4
10,2017-07-30,19.9,1008.1,316.0,332.0,15.575,32.4,65.0,17.5,28.6,21.55,0.0,19.9
11,2017-07-30,21.5,1008.7,110.0,638.0,16.3,25.2,60.0,17.5,28.6,21.55,0.0,21.5
12,2017-07-30,21.8,1009.0,256.0,835.0,15.634,32.4,53.0,17.5,28.6,21.55,0.0,21.8
13,2017-07-30,22.3,1009.1,193.0,169.0,15.786,25.2,51.0,17.5,28.6,21.55,0.0,22.3
14,2017-07-30,23.5,1009.0,335.0,397.0,15.465,21.6,43.0,17.5,28.6,21.55,0.0,23.5
15,2017-07-30,24.4,1009.4,63.0,1178.0,15.802,25.2,41.0,17.5,28.6,21.55,0.0,24.4
16,2017-07-30,23.2,1009.4,322.0,837.0,15.392,25.2,44.0,17.5,28.6,21.55,0.0,23.2
17,2017-07-30,24.4,1009.4,326.0,232.0,15.802,18.0,41.0,17.5,28.6,21.55,0.0,24.4
18,2017-07-30,23.4,1009.5,27.0,225.0,15.7,21.6,45.0,17.5,28.6,21.55,0.0,23.4
19,2017-07-30,24.3,1009.2,354.0,218.0,16.375,10.8,45.0,17.5,28.6,21.55,0.0,24.3
20,2017-07-30,24.0,1008.9,4.0,197.0,16.15,18.0,45.0,17.5,28.6,21.55,0.0,24.0
21,2017-07-30,22.8,1009.3,331.0,16.0,15.882,14.4,49.0,17.5,28.6,21.55,0.0,22.8
22,2017-07-30,21.4,1009.6,294.0,0.0,15.53,3.6,55.0,17.5,28.6,21.55,0.0,21.4
23,2017-07-30,20.3,1010.2,289.0,0.0,15.11,14.4,59.0,17.5,28.6,21.55,0.0,20.3
24,2017-07-31,19.5,1010.8,313.0,0.0,15.005,14.4,63.0,17.5,28.6,21.55,0.0,19.5
25,2017-07-31,18.6,1011.8,27.0,0.0,14.316,18.0,63.0,18.9,24.9,21.2,0.0,18.6
26,2017-07-29,18.2,1012.3,106.0,0.0,15.32,14.4,74.0,14.5,23.8,19.85,0.0,18.2
27,2017-07-29,17.7,1012.4,335.0,0.0,15.221,10.8,77.0,14.5,23.8,19.85,0.0,17.7
28,2017-07-29,17.5,1012.4,301.0,0.0,15.4,7.2,80.0,14.5,23.8,19.85,0.0,17.5
29,2017-07-29,17.7,1012.6,267.0,12.0,15.56,3.6,80.0,14.5,23.8,19.85,0.0,17.7
